/opt/conda/envs/py_3.9/lib/python3.9/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
iter 29000: train_loss: 0.00873, train_acc: 0.987
iter 30000: train_loss: 0.00907, train_acc: 0.987
iter 31000: train_loss: 0.00872, train_acc: 0.987
iter 31250: train_loss: 0.00822, train_acc: 0.988
graphcodebert-c.pt checkpoint saved...
seed 44 idx 215175
epoch 3 train start...
iter 1000: train_loss: 0.00838, train_acc: 0.988
iter 2000: train_loss: 0.00915, train_acc: 0.987
iter 3000: train_loss: 0.00875, train_acc: 0.987
iter 4000: train_loss: 0.00809, train_acc: 0.988
iter 5000: train_loss: 0.00899, train_acc: 0.987
iter 6000: train_loss: 0.00826, train_acc: 0.988
iter 7000: train_loss: 0.00782, train_acc: 0.988
iter 8000: train_loss: 0.00847, train_acc: 0.988
iter 9000: train_loss: 0.00829, train_acc: 0.987
iter 10000: train_loss: 0.00859, train_acc: 0.987
iter 11000: train_loss: 0.00782, train_acc: 0.988
iter 12000: train_loss: 0.00810, train_acc: 0.988
iter 13000: train_loss: 0.00810, train_acc: 0.987
iter 14000: train_loss: 0.00756, train_acc: 0.989
iter 15000: train_loss: 0.00695, train_acc: 0.990
iter 16000: train_loss: 0.00761, train_acc: 0.989
iter 17000: train_loss: 0.00788, train_acc: 0.989
iter 18000: train_loss: 0.00785, train_acc: 0.987
iter 19000: train_loss: 0.00816, train_acc: 0.987
iter 20000: train_loss: 0.00719, train_acc: 0.990
iter 21000: train_loss: 0.00767, train_acc: 0.987
iter 22000: train_loss: 0.00791, train_acc: 0.988
iter 23000: train_loss: 0.00752, train_acc: 0.988
iter 24000: train_loss: 0.00761, train_acc: 0.987
iter 25000: train_loss: 0.00678, train_acc: 0.989
iter 26000: train_loss: 0.00740, train_acc: 0.988
iter 27000: train_loss: 0.00727, train_acc: 0.989
iter 28000: train_loss: 0.00712, train_acc: 0.989
iter 29000: train_loss: 0.00756, train_acc: 0.989
iter 30000: train_loss: 0.00749, train_acc: 0.988
iter 31000: train_loss: 0.00762, train_acc: 0.988
iter 31250: train_loss: 0.00710, train_acc: 0.991
graphcodebert-c.pt checkpoint saved...
